Year,Interest_Rate,Unemployment_Rate,Stock_Index
2000,6.5,5.8,1200
2001,6.0,6.0,1150
2002,5.5,6.2,1180
2003,5.0,6.0,1250
2004,4.8,5.5,1350
2005,4.5,5.2,1450
2006,4.7,4.8,1550
2007,5.2,4.6,1600
2008,5.8,5.8,1400
2009,4.5,8.0,1100
2010,4.0,8.2,1250
2011,4.2,7.9,1300
2012,3.8,7.5,1380
2013,3.5,7.2,1450
2014,3.2,6.5,1550
2015,3.0,5.8,1650
2016,2.8,5.0,1750
2017,3.0,4.5,1850
2018,3.5,4.0,1950
2019,3.2,3.8,2050
2020,2.5,8.0,1800
2021,2.8,6.5,2100
2022,4.0,5.5,2250
2023,4.5,4.8,2350
2024,4.2,4.5,2450
2025,4.0,4.2,2550
